tr, amp, labels
92.1985,5016.39,carbon
117.741,8643.27,others
102.967,20308.6,carbon
88.2019,6724.61,carbon
102.152,8509.31,carbon
87.4089,12493,carbon
97.1865,11472.3,carbon
97.303,6293.73,carbon
95.237,5475.37,carbon
105.412,16002.2,carbon
216.27,10429.3,alpha
93.6708,6939.91,carbon
89.7188,5281.32,carbon
107.525,5630.52,carbon
95.4282,6886.42,carbon
98.689,4710.76,carbon
101.16,6135.16,carbon
170.453,8391.78,alpha
93.4897,6432.78,carbon
94.4497,16932.9,carbon
170.29,8338.81,alpha
101.309,3507.79,carbon
95.8317,5353.76,carbon
96.1538,5513.36,carbon
96.4122,7905.39,carbon
199.288,9659.25,alpha
85.6158,4009.85,carbon
203.366,11008.5,alpha
106.419,5757.17,carbon
92.8926,5305.51,carbon
147.187,9902.7,alpha
209.649,7877.05,alpha
193.083,10706,alpha
95.9786,9186.03,carbon
106.642,6216.42,carbon
102.909,8325.02,carbon
189.121,9880,alpha
94.6207,18379.2,carbon
196.356,10603.5,alpha
88.7362,14256.5,carbon
88.3452,10746.7,carbon
130.563,9525.57,alpha
94.9916,6304.73,carbon
204.65,10444.8,alpha
98.8375,6825.31,carbon
206.665,8544.33,alpha
184.144,9913.49,alpha
98.234,6967,carbon
169.763,10290.8,alpha
101.095,3407.92,carbon
92.8785,7144.45,carbon
86.3594,5815.46,carbon
119.345,8975.22,others
190.521,9507.73,alpha
100.718,10840.2,carbon
85.4125,8858.46,carbon
96.3112,3684.98,carbon
98.292,15920.6,carbon
91.6497,6359.09,carbon
95.2001,8601.98,carbon
93.3293,9004.68,carbon
93.3731,5853.11,carbon
108.701,6983.06,carbon
94.9456,6210.07,carbon
190.895,10049,alpha
101.527,9135.44,carbon
95.684,4111.77,carbon
102.868,9920.54,carbon
101.997,9369.1,carbon
98.4461,13086.8,carbon
95.2788,5673.96,carbon
125.222,9825.15,alpha
92.0448,11301.6,carbon
103.531,6390.64,carbon
97.4837,7662.25,carbon
105.284,8704.11,carbon
94.9088,11165,carbon
211.689,10257,alpha
104.379,7086.16,carbon
96.1521,9891.02,carbon
216.111,8300.53,alpha
98.1177,6234.89,carbon
92.98,8739.4,carbon
100.237,8568.71,carbon
95.9813,4446.2,carbon
94.7177,11306.5,carbon
91.8492,8302.71,carbon
105.825,4196.76,carbon
97.4911,6823.45,carbon
100.575,7043.8,carbon
105.998,14669,carbon
93.1439,4404.87,carbon
181.426,11058.4,alpha
96.5232,12961.8,carbon
0,11347,others
83.8028,6771.3,carbon
96.4293,29919.8,carbon
107.261,7418.32,carbon
101.084,5550.12,carbon
106.262,6490.18,carbon
96.5254,8380.88,carbon
99.4849,7480.86,carbon
213.701,7503.98,alpha
97.3819,7334.59,carbon
104.55,11220.8,carbon
264.837,10538.8,alpha
99.9108,7273.42,carbon
100.767,5937.59,carbon
93.8643,4051.26,carbon
99.8806,6080.86,carbon
97.3584,6846.4,carbon
84.1579,4588.78,carbon
94.6233,6149.76,carbon
94.1954,4099.98,carbon
100.096,7722.91,carbon
95.3823,5583.53,carbon
